distrito,mpo_inegi
D13005,13064
D13006,13048
D13006,13069
D13006,13082
D13006,13075
D13007,13051
D13007,13061
D13007,13083
D13007,13008
D13007,13057
D13007,13021
D13007,13022
D13007,13007
D13007,13066
D13007,13072
D15002,15109
D15002,15108
D15002,15059
D15002,15044
D15002,15125
D15004,15060
D15004,15038
D15005,15081
D15005,15002
D15005,15092
D15005,15100
D15005,15084
D15005,15065
D15005,15093
D15005,15028
D15005,15016
D15005,15075
D15005,15061
D15005,15069
D15007,15121
D15008,15109
D15010,15033
D15011,15033
D15013,15033
D15014,15104
D15014,15121
D15014,15013
D15015,15013
D15016,15033
D15016,15104
D15017,15033
D15019,15104
D15020,15058
D15021,15039
D15021,15009
D15021,15103
D15021,15015
D15021,15068
D15021,15050
D15021,15094
D15021,15089
D15021,15017
D15021,15034
D15024,15057
D15026,15106
D15026,15067
D15027,15054
D15027,15076
D15027,15018
D15027,15073
D15027,15055
D15027,15027
D15032,15122
D15034,15106
D15037,15024
D15037,15095
D15037,15091
D15037,15053
D15037,15023
D15038,15099
D15038,15011
D15038,15100
D15038,15030
D15040,15118
D15040,15005
D15040,15087
D15040,15021
D15041,15081
D15041,15084
D16001,16052
D16001,16055
D16001,16035
D16001,16064
D16001,16033
D16001,16010
D16001,16029
D16001,16059
D16001,16096
D17001,17007
D17002,17007
D17002,17011
D17002,17008
D17002,17028
D18001,18015
D18001,18012
D18001,18009
D18001,18016
D18001,18001
D18001,18010
D18001,18018
D18001,18011
D18001,18005
D20002,20041
D20002,20134
D20002,20406
D20002,20006
D20002,20171
D20002,20227
D20002,20058
D20002,20150
D20002,20309
D20002,20136
D20002,20338
D20002,20483
D20002,20177
D20002,20545
D20002,20045
D20002,20234
D20002,20294
D20002,20178
D20002,20040
D20002,20539
D20002,20326
D20002,20098
D20002,20116
D20002,20102
D20002,20330
D20002,20434
D20002,20029
D20002,20084
D20002,20063
D20002,20169
D20002,20244
D20002,20077
D20002,20024
D20002,20249
D20002,20396
D20002,20490
D20002,20019
D20002,20220
D20002,20033
D20002,20527
D20002,20193
D20002,20161
D20002,20206
D20002,20027
D20002,20182
D20002,20260
D20002,20264
D20002,20425
D20002,20139
D20002,20487
D20002,20214
D20002,20187
D20002,20478
D20002,20395
D20002,20431
D20002,20438
D20002,20163
D20002,20175
D20002,20374
D20002,20179
D20002,20558
D20002,20109
D20002,20270
D20002,20142
D20002,20436
D20002,20451
D20002,20228
D20002,20322
D20002,20313
D20002,20304
D20002,20355
D20002,20276
D20002,20311
D20002,20463
D20002,20354
D20002,20416
D20003,20385
D20003,20039
D20003,20565
D20003,20023
D20003,20006
D20003,20115
D20003,20426
D20003,20310
D20003,20135
D20003,20540
D20003,20494
D20003,20108
D20003,20459
D20003,20462
D20003,20339
D20003,20342
D20003,20273
D20003,20046
D20003,20511
D20003,20555
D20003,20492
D20003,20013
D20003,20217
D20003,20176
D20003,20531
D20003,20104
D20003,20455
D20003,20486
D20003,20388
D20003,20089
D20003,20405
D20003,20499
D20003,20255
D20003,20369
D20003,20094
D20003,20340
D20003,20569
D20003,20548
D20003,20092
D20003,20400
D20003,20562
D20003,20165
D20003,20523
D20003,20456
D20003,20568
D20003,20292
D20003,20160
D20003,20274
D20003,20221
D20003,20329
D20003,20564
D20003,20250
D20003,20195
D20003,20283
D20003,20144
D20003,20547
D20003,20004
D20003,20331
D20003,20018
D20003,20140
D20003,20215
D20003,20404
D20003,20321
D20003,20022
D20003,20096
D20003,20258
D20003,20370
D20003,20121
D20003,20422
D20003,20383
D20003,20224
D20003,20493
D20003,20093
D20003,20423
D20003,20552
D20003,20181
D20003,20054
D20003,20536
D20003,20476
D20003,20119
D20003,20172
D20003,20147
D20003,20373
D20003,20129
D20003,20430
D20003,20464
D20003,20332
D20003,20151
D20003,20524
D20003,20287
D20003,20281
D20003,20556
D20003,20106
D20003,20341
D20003,20521
D20003,20256
D20003,20479
D20003,20518
D20003,20488
D20003,20047
D20004,20107
D20004,20551
D20004,20068
D20004,20570
D20004,20350
D20004,20375
D20004,20298
D20004,20131
D20004,20553
D20004,20475
D20004,20083
D20004,20295
D20004,20409
D20004,20437
D20004,20042
D20004,20275
D20004,20031
D20004,20072
D20004,20560
D20004,20103
D20004,20546
D20004,20550
D20004,20554
D20004,20502
D20004,20337
D20004,20517
D20004,20051
D20004,20452
D20004,20174
D20004,20393
D20004,20145
D20004,20360
D20004,20200
D20004,20530
D20004,20435
D20004,20156
D20004,20197
D20004,20284
D20004,20457
D20004,20519
D20004,20403
D20004,20231
D20004,20212
D20004,20454
D20004,20387
D20004,20189
D20004,20561
D20004,20394
D20004,20226
D20004,20219
D20004,20060
D20004,20363
D20004,20007
D20004,20112
D20004,20118
D20004,20280
D20004,20380
D20004,20323
D20004,20356
D20004,20003
D20004,20349
D20004,20201
D20004,20162
D20004,20343
D20004,20368
D20004,20038
D20004,20243
D20004,20233
D20004,20496
D20004,20336
D20004,20315
D20004,20097
D20004,20504
D20004,20541
D20004,20247
D20004,20301
D20004,20192
D20004,20222
D20004,20173
D20004,20473
D20004,20216
D20004,20194
D20004,20328
D20004,20128
D20004,20049
D20004,20078
D20004,20303
D20004,20132
D20004,20365
D20004,20299
D20004,20522
D20004,20514
D20004,20544
D20004,20262
D20004,20257
D20004,20458
D20004,20389
D20004,20359
D20004,20335
D20004,20432
D20004,20296
D20004,20001
D20004,20411
D20004,20506
D20004,20114
D20004,20246
D20004,20288
D20004,20035
D20004,20419
D20004,20471
D20004,20062
D20004,20223
D20004,20443
D20004,20138
D20004,20100
D20004,20196
D20004,20503
D20004,20120
D20004,20191
D20004,20442
D20004,20267
D20005,20079
D20005,20515
D20005,20318
D20005,20190
D20005,20207
D20005,20124
D20005,20205
D20005,20418
D20005,20125
D20005,20325
D20005,20307
D20005,20266
D20005,20064
D20005,20498
D20005,20208
D20005,20052
D20005,20036
D20005,20460
D20005,20470
D20005,20421
D20005,20305
D20005,20453
D20005,20410
D20005,20472
D20005,20170
D20005,20412
D20005,20308
D20005,20495
D20005,20449
D20005,20211
D20005,20333
D20005,20148
D20005,20428
D20005,20465
D20005,20508
D20005,20053
D20005,20361
D20005,20440
D20005,20357
D20005,20008
D20005,20282
D20005,20316
D20005,20122
D20005,20204
D20005,20074
