distrito,AdultosMayores,ApoyoMadresTrab,BecasUniv,BenitoJuarez,BienestarDiscapacitados,CreditoGanaPalabra,FertiGuerrero,JoCuFu,MediaSuperior,MejoramientoUrbano-RYCJ,MejoUrbano-VAB,PNR-ReconstruViv,PrBiPeEmSoNa,ProdBienProdCafe,ProdBienProdCanaAzu,ProdBienProdIndig,ProdBienPyMProd,SembrandoVida
D14017,27001,453,525.0,1088,1096,1.0,0.0,1053,284.0,0.0,0.0,0.0,0.0,0.0,1504.0,0.0,6931,0.0
D14018,34690,501,764.0,1545,1352,0.0,0.0,3766,1646.0,0.0,0.0,0.0,0.0,0.0,1830.0,0.0,8858,1.0
D14019,31820,860,861.0,1666,1094,0.0,1.0,2809,139.0,0.0,0.0,0.0,0.0,0.0,828.0,1.0,5019,0.0
D14020,27440,795,151.0,18479,1870,0.0,1.0,1159,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1100,0.0
D15001,26386,279,627.0,13981,3648,0.0,0.0,2732,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,16083,0.0
D15002,29790,519,105.0,9417,1776,0.0,1.0,3326,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,415,0.0
D15003,21682,209,950.0,23866,2201,0.0,1.0,2682,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,14114,0.0
D15004,16922,124,239.0,3495,1097,0.0,0.0,970,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,969,0.0
D15005,35995,727,720.0,3587,2761,0.0,1.0,6483,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,4787,0.0
D15006,106057,828,1542.0,5062,4579,0.0,7.0,12171,0.0,0.0,0.0,0.0,0.0,2.0,17.0,0.0,915,1.0
D15007,29972,320,553.0,2409,1413,0.0,1.0,1403,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,153,0.0
D15008,21392,369,100.0,8856,1035,0.0,0.0,1672,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,195,0.0
D15009,18479,66,2215.0,12550,1713,0.0,1.0,2636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,582.0,17141,0.0
D15010,87646,631,1423.0,4791,3802,0.0,6.0,10477,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,814,0.0
D15011,87646,631,1423.0,4791,3802,0.0,6.0,10477,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,814,0.0
D15012,13915,470,292.0,3980,1866,1.0,0.0,2298,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,848,0.0
D15013,87646,631,1423.0,4791,3802,0.0,6.0,10477,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,814,0.0
