distrito,AdultosMayores,ApoyoMadresTrab,BecasUniv,BenitoJuarez,BienestarDiscapacitados,CreditoGanaPalabra,FertiGuerrero,JoCuFu,MediaSuperior,MejoramientoUrbano-RYCJ,MejoUrbano-VAB,PNR-ReconstruViv,PrBiPeEmSoNa,ProdBienProdCafe,ProdBienProdCanaAzu,ProdBienProdIndig,ProdBienPyMProd,SembrandoVida
D26001,55430625.0,778800.0,1204800.0,3988800.0,10600350.0,0.0,53514.0,3898800.0,2505600.0,0.0,23184396.0,0.0,0.0,155000.0,43800.0,57600.0,2237728.0,0.0
D26002,54967800.0,694400.0,1252800.0,1923200.0,3332850.0,0.0,0.0,6130800.0,179200.0,0.0,13366518.0,0.0,0.0,0.0,14600.0,0.0,817047.0,0.0
D26003,118608150.0,4016000.0,5323200.0,673600.0,9820050.0,0.0,0.0,34207200.0,83200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525890.0,0.0
D26004,73389000.0,1488800.0,1776000.0,3356800.0,8129400.0,0.0,0.0,8524800.0,2076800.0,0.0,0.0,0.0,2876400.0,0.0,7300.0,3200.0,3599533.0,0.0
D26005,118608150.0,4016000.0,5323200.0,673600.0,9820050.0,0.0,0.0,34207200.0,83200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525890.0,0.0
D26006,77708700.0,2144000.0,3360000.0,3801600.0,8568000.0,0.0,4622.0,10936800.0,86400.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,2679501.0,0.0
D26007,76354650.0,3411600.0,8956800.0,9667200.0,9825150.0,0.0,0.0,22096800.0,1363200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15701868.0,0.0
D27001,53978400.0,1334800.0,7588800.0,29267200.0,6834000.0,16784000.0,0.0,530326800.0,2633600.0,0.0,0.0,0.0,0.0,0.0,693500.0,0.0,32765842.0,122830000.0
D27002,55781250.0,1322400.0,7550400.0,42344000.0,21641850.0,0.0,0.0,276282000.0,3852800.0,0.0,0.0,0.0,0.0,0.0,17921500.0,0.0,19613393.0,43455000.0
D27003,46346250.0,1724000.0,24619200.0,33806400.0,9338100.0,0.0,0.0,280818000.0,0.0,0.0,0.0,0.0,0.0,0.0,788400.0,0.0,5929847.0,23470000.0
D27004,87666450.0,5885600.0,33888000.0,21832000.0,7076250.0,9144000.0,0.0,346698000.0,390400.0,0.0,0.0,0.0,0.0,0.0,277400.0,0.0,4675759.0,20665000.0
D27005,53978400.0,1694400.0,5572800.0,24152000.0,9797100.0,6272000.0,0.0,578545200.0,672000.0,0.0,0.0,0.0,0.0,0.0,65700.0,0.0,13075838.0,26285000.0
D27006,111276900.0,7038800.0,39969600.0,27984000.0,11248050.0,18728000.0,0.0,542901600.0,2684800.0,0.0,0.0,0.0,0.0,0.0,284700.0,0.0,12611485.0,58315000.0
D28001,46958250.0,404800.0,2068800.0,6611200.0,4539000.0,0.0,0.0,9266400.0,0.0,828000.0,0.0,0.0,0.0,0.0,29200.0,0.0,512802.0,0.0
D28002,82818900.0,1108000.0,4800000.0,16049600.0,9802200.0,0.0,0.0,17452800.0,0.0,0.0,0.0,0.0,0.0,0.0,102200.0,0.0,18593258.0,10000.0
D28003,107230050.0,1821200.0,4353600.0,30766400.0,10750800.0,0.0,0.0,25102800.0,704000.0,0.0,0.0,0.0,0.0,0.0,102200.0,8000.0,89008141.0,0.0
D28004,59743950.0,1044800.0,3916800.0,15784000.0,6178650.0,0.0,0.0,13024800.0,0.0,0.0,0.0,0.0,0.0,0.0,94900.0,0.0,12949364.0,0.0
D28005,72736200.0,4754000.0,11558400.0,9227200.0,6285750.0,752000.0,0.0,51300000.0,537600.0,0.0,0.0,0.0,0.0,0.0,146000.0,0.0,21745196.0,0.0
D28006,91922400.0,1780000.0,3345600.0,14198400.0,10855350.0,3776000.0,0.0,132228000.0,2182400.0,0.0,0.0,0.0,0.0,5000.0,8037300.0,0.0,92000728.0,0.0
D28007,69107550.0,2958400.0,6024000.0,9108800.0,7894800.0,0.0,0.0,58294800.0,0.0,0.0,0.0,0.0,0.0,0.0,226300.0,0.0,11410417.0,0.0
D28008,111348300.0,3247600.0,7310400.0,3824000.0,5686500.0,0.0,0.0,36097200.0,0.0,0.0,0.0,0.0,0.0,0.0,452600.0,0.0,3955242.0,0.0
D28009,68245650.0,946400.0,4089600.0,13945600.0,8703150.0,0.0,0.0,11761200.0,0.0,0.0,0.0,0.0,0.0,0.0,87600.0,0.0,18155758.0,10000.0
D29001,63778050.0,5056800.0,4588800.0,15598400.0,10095450.0,0.0,3256.0,155095200.0,227200.0,0.0,0.0,0.0,0.0,0.0,0.0,4800.0,85929687.0,0.0
D29002,62018550.0,6227200.0,7008000.0,13532800.0,6140400.0,0.0,0.0,122752800.0,0.0,0.0,0.0,0.0,0.0,0.0,29200.0,0.0,4028744.0,0.0
D29003,85588200.0,5987600.0,5702400.0,11553600.0,7606650.0,0.0,0.0,184042800.0,0.0,0.0,0.0,0.0,0.0,0.0,29200.0,0.0,47242762.0,0.0
D30001,80679450.0,2206000.0,3163200.0,7934400.0,7537800.0,6736000.0,0.0,61038000.0,1987200.0,0.0,0.0,0.0,0.0,5000.0,12417300.0,22400.0,35365818.0,0.0
D30002,95727000.0,972000.0,5841600.0,17132800.0,21473550.0,4624000.0,0.0,79711200.0,15542400.0,0.0,0.0,0.0,0.0,1495000.0,73000.0,10563200.0,104885623.0,5650000.0
D30003,75923700.0,1649600.0,11712000.0,9996800.0,10579950.0,6656000.0,0.0,27367200.0,217600.0,0.0,0.0,0.0,0.0,5000.0,80300.0,25600.0,22085088.0,7950000.0
D30004,113594850.0,2254000.0,8160000.0,6638400.0,10151550.0,16000.0,0.0,42746400.0,713600.0,0.0,0.0,0.0,0.0,15000.0,1401600.0,0.0,2434994.0,30000.0
D30005,72871350.0,1564400.0,10900800.0,13686400.0,6428550.0,1272000.0,0.0,59414400.0,0.0,0.0,0.0,0.0,0.0,10000.0,14600.0,0.0,13891455.0,5470000.0
D30006,97144800.0,1842800.0,1420800.0,14214400.0,17067150.0,0.0,0.0,141645600.0,790400.0,0.0,0.0,0.0,0.0,2495000.0,379600.0,1600.0,29484336.0,33890000.0
D30007,79072950.0,751200.0,5832000.0,11262400.0,13198800.0,0.0,0.0,99291600.0,537600.0,0.0,0.0,0.0,0.0,12240000.0,197100.0,6400.0,23474357.0,9045000.0
D30008,170663850.0,5621600.0,33648000.0,11057600.0,12683700.0,3360000.0,0.0,376228800.0,332800.0,0.0,0.0,0.0,0.0,33010000.0,19673500.0,1600.0,25216125.0,5300000.0
D30009,64471650.0,3032400.0,1828800.0,11073600.0,11816700.0,0.0,0.0,116344800.0,787200.0,0.0,0.0,0.0,0.0,14685000.0,7475200.0,19200.0,25695955.0,8370000.0
D30010,95602050.0,3490800.0,32116800.0,6449600.0,5020950.0,0.0,0.0,195670800.0,0.0,0.0,0.0,0.0,0.0,1310000.0,1876100.0,0.0,1622206.0,10000.0
D30011,70520250.0,696800.0,11246400.0,6720000.0,6303600.0,1040000.0,0.0,62586000.0,0.0,0.0,0.0,0.0,0.0,0.0,189800.0,0.0,1992235.0,3975000.0
D30012,166242150.0,3217200.0,12662400.0,9272000.0,12897900.0,16000.0,0.0,65808000.0,713600.0,0.0,0.0,0.0,0.0,25000.0,4168300.0,4800.0,10009600.0,1955000.0
D30013,87102900.0,1065600.0,14678400.0,11873600.0,10750800.0,7112000.0,0.0,78458400.0,784000.0,0.0,0.0,0.0,0.0,11235000.0,51085400.0,248000.0,40518205.0,26715000.0
D30014,74350350.0,510400.0,12648000.0,22585600.0,12892800.0,12320000.0,0.0,82944000.0,7824000.0,0.0,0.0,0.0,0.0,5000.0,138700.0,222400.0,71679356.0,32295000.0
D30015,77987925.0,3548800.0,6686400.0,6532800.0,8670000.0,0.0,0.0,98049600.0,211200.0,0.0,0.0,0.0,0.0,2910000.0,4628200.0,0.0,8088014.0,14745000.0
D30016,78812850.0,4926000.0,1252800.0,7176000.0,9769050.0,0.0,0.0,70581600.0,92800.0,0.0,0.0,0.0,0.0,14255000.0,17863100.0,3200.0,2501828.0,6645000.0
D30017,90815700.0,1246400.0,8452800.0,10006400.0,8703150.0,7032000.0,0.0,223394400.0,672000.0,0.0,0.0,0.0,0.0,15000.0,41361800.0,1294400.0,54837511.0,24940000.0
D30018,72014550.0,986400.0,4636800.0,22331200.0,15840600.0,0.0,0.0,104400000.0,3283200.0,0.0,0.0,0.0,0.0,17690000.0,23133700.0,3681600.0,28914786.0,34640000.0
D30019,90161625.0,1823200.0,7022400.0,14670400.0,9626250.0,2184000.0,0.0,100774800.0,246400.0,0.0,0.0,0.0,0.0,165000.0,14957700.0,49600.0,39241476.0,9980000.0
D30020,66529500.0,741600.0,2006400.0,11790400.0,11612700.0,4672000.0,0.0,143560800.0,7430400.0,0.0,0.0,0.0,0.0,3135000.0,1226400.0,1427200.0,52816042.0,27410000.0
D31001,82678650.0,1922400.0,8092800.0,33518400.0,14047950.0,29792000.0,0.0,72849600.0,1283200.0,0.0,0.0,0.0,0.0,0.0,0.0,249600.0,66805197.0,14325000.0
D31002,72282300.0,5385200.0,4353600.0,9838400.0,13226850.0,1656000.0,0.0,57668400.0,0.0,0.0,0.0,0.0,0.0,0.0,14600.0,0.0,2183969.0,4845000.0
D31003,174499050.0,7715600.0,9249600.0,6449600.0,11204700.0,896000.0,0.0,103525200.0,0.0,0.0,0.0,0.0,0.0,0.0,43800.0,0.0,388819.0,70000.0
D31004,174499050.0,7715600.0,9249600.0,6449600.0,11204700.0,896000.0,0.0,103525200.0,0.0,0.0,0.0,0.0,0.0,0.0,43800.0,0.0,388819.0,70000.0
D31005,79868550.0,1004800.0,5832000.0,25777600.0,13629750.0,3824000.0,0.0,110826000.0,41600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36750536.0,4710000.0
D32001,66533325.0,2783200.0,3273600.0,9908800.0,8754150.0,7472000.0,0.0,29818800.0,2096000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123825171.0,0.0
D32002,105167100.0,2991200.0,2956800.0,9481600.0,6084300.0,16216000.0,0.0,106207200.0,5385600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84950323.0,0.0
D32003,74769825.0,3389600.0,6240000.0,13203200.0,5923650.0,13808000.0,0.0,73339200.0,2950400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154231812.0,0.0
D32004,59338500.0,4733600.0,4656000.0,11724800.0,7550550.0,3496000.0,0.0,68511600.0,2048000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113833516.0,0.0
