distrito,robo_casa,robo_vehiculos,robo_transportistas,robo_bancos,robo_negocio,robo_maquinaria,secuestro,feminicidio,extorsion,homicidio_doloso,pob,date
D09018,57.0,236.0,4.0,1.0,259.0,1.0,1.0,0.0,6.0,22.0,1827868.0,2020/03
D09019,57.0,236.0,4.0,1.0,259.0,1.0,1.0,0.0,6.0,22.0,1827868.0,2020/03
D09020,57.0,236.0,4.0,1.0,259.0,1.0,1.0,0.0,6.0,22.0,1827868.0,2020/03
D09021,27.0,71.0,0.0,0.0,29.0,0.0,0.0,0.0,1.0,5.0,553860.0,2020/03
D09022,57.0,236.0,4.0,1.0,259.0,1.0,1.0,0.0,6.0,22.0,1827868.0,2020/03
D09023,36.0,141.0,0.0,0.0,142.0,0.0,0.0,1.0,0.0,4.0,608479.0,2020/03
D09024,59.0,204.0,0.0,0.0,170.0,0.0,0.0,1.0,1.0,8.0,1024412.0,2020/03
D10001,147.0,61.0,0.0,1.0,44.0,0.0,0.0,1.0,7.0,10.0,897838.0,2020/03
D10002,77.0,26.0,1.0,0.0,46.0,0.0,0.0,0.0,4.0,0.0,436045.0,2020/03
D10003,52.0,5.0,0.0,0.0,15.0,0.0,0.0,2.0,1.0,1.0,420871.0,2020/03
D10004,136.0,57.0,0.0,1.0,44.0,0.0,0.0,1.0,5.0,3.0,654876.0,2020/03
D11001,23.0,5.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,9.0,358513.0,2020/03
D11002,81.0,137.0,0.0,0.0,152.0,0.0,0.0,0.0,0.0,38.0,827527.0,2020/03
D11003,138.0,68.0,0.0,0.0,225.0,0.0,0.0,0.0,1.0,39.0,1578626.0,2020/03
D11004,59.0,9.0,0.0,0.0,18.0,0.0,0.0,0.0,1.0,16.0,360544.0,2020/03
D11005,138.0,68.0,0.0,0.0,225.0,0.0,0.0,0.0,1.0,39.0,1578626.0,2020/03
D11006,138.0,68.0,0.0,0.0,225.0,0.0,0.0,0.0,1.0,39.0,1578626.0,2020/03
D11007,13.0,5.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,26.0,388710.0,2020/03
D11008,12.0,46.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0,39.0,415161.0,2020/03
D11009,44.0,18.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,40.0,763911.0,2020/03
D11010,12.0,32.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,21.0,386077.0,2020/03
D11011,138.0,68.0,0.0,0.0,225.0,0.0,0.0,0.0,1.0,39.0,1578626.0,2020/03
D11012,50.0,125.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,27.0,494304.0,2020/03
D11013,12.0,6.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,17.0,393783.0,2020/03
D11014,19.0,31.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,37.0,380825.0,2020/03
D11015,35.0,15.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,33.0,574344.0,2020/03
D12001,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,355634.0,2020/03
D12002,5.0,24.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,18.0,393210.0,2020/03
D12003,4.0,22.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,17.0,424827.0,2020/03
D12004,13.0,88.0,0.0,0.0,25.0,0.0,0.0,1.0,6.0,35.0,810669.0,2020/03
D12005,3.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0,375497.0,2020/03
D12006,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,411791.0,2020/03
D12007,2.0,22.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,20.0,388104.0,2020/03
D12008,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,12.0,373519.0,2020/03
D12009,13.0,88.0,0.0,0.0,25.0,0.0,0.0,1.0,6.0,35.0,810669.0,2020/03
D13001,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,2.0,411307.0,2020/03
D13002,16.0,24.0,0.0,0.0,6.0,0.0,0.0,0.0,4.0,2.0,397706.0,2020/03
D13003,16.0,39.0,0.0,0.0,18.0,0.0,0.0,1.0,5.0,5.0,401628.0,2020/03
D13004,30.0,68.0,0.0,0.0,12.0,0.0,0.0,0.0,3.0,4.0,406138.0,2020/03
D13005,26.0,60.0,0.0,0.0,24.0,0.0,2.0,0.0,1.0,13.0,433857.0,2020/03
D13006,69.0,121.0,0.0,0.0,89.0,0.0,2.0,1.0,1.0,3.0,432298.0,2020/03
D13007,58.0,56.0,0.0,0.0,32.0,0.0,2.0,0.0,0.0,1.0,375425.0,2020/03
D14001,20.0,12.0,0.0,0.0,7.0,0.0,0.0,2.0,3.0,4.0,374654.0,2020/03
D14002,8.0,49.0,3.0,0.0,10.0,0.0,0.0,0.0,1.0,20.0,361772.0,2020/03
D14003,6.0,42.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,2.0,423839.0,2020/03
D14004,80.0,241.0,3.0,0.0,218.0,2.0,0.0,1.0,10.0,19.0,1332272.0,2020/03
D14005,27.0,55.0,0.0,0.0,9.0,0.0,0.0,0.0,4.0,3.0,368622.0,2020/03
D14006,80.0,241.0,3.0,0.0,218.0,2.0,0.0,1.0,10.0,19.0,1332272.0,2020/03
D14007,28.0,102.0,3.0,0.0,105.0,0.0,0.0,0.0,5.0,14.0,536111.0,2020/03
D14008,101.0,559.0,7.0,1.0,360.0,1.0,1.0,0.0,14.0,31.0,1460148.0,2020/03
D14009,101.0,559.0,7.0,1.0,360.0,1.0,1.0,0.0,14.0,31.0,1460148.0,2020/03
D14010,80.0,241.0,3.0,0.0,218.0,2.0,0.0,1.0,10.0,19.0,1332272.0,2020/03
D14011,101.0,559.0,7.0,1.0,360.0,1.0,1.0,0.0,14.0,31.0,1460148.0,2020/03
D14012,32.0,52.0,7.0,0.0,38.0,1.0,0.0,1.0,7.0,17.0,549442.0,2020/03
D14013,124.0,340.0,11.0,0.0,348.0,3.0,0.0,1.0,14.0,52.0,1996465.0,2020/03
D14014,101.0,559.0,7.0,1.0,360.0,1.0,1.0,0.0,14.0,31.0,1460148.0,2020/03
D14015,6.0,20.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,402199.0,2020/03
D14016,44.0,99.0,8.0,0.0,130.0,1.0,0.0,0.0,4.0,33.0,664193.0,2020/03
D14017,28.0,12.0,0.0,0.0,13.0,0.0,0.0,0.0,6.0,6.0,340784.0,2020/03
D14018,10.0,18.0,0.0,0.0,10.0,2.0,0.0,0.0,5.0,4.0,366387.0,2020/03
D14019,14.0,8.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,3.0,372966.0,2020/03
D14020,42.0,162.0,9.0,0.0,123.0,0.0,0.0,1.0,7.0,21.0,827552.0,2020/03
D15001,7.0,46.0,12.0,0.0,3.0,0.0,1.0,0.0,2.0,4.0,414815.0,2020/03
D15002,32.0,252.0,35.0,1.0,186.0,0.0,1.0,0.0,4.0,14.0,747958.0,2020/03
D15003,9.0,29.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,430807.0,2020/03
D15004,20.0,53.0,4.0,0.0,28.0,1.0,0.0,1.0,7.0,10.0,421844.0,2020/03
D15005,52.0,235.0,17.0,0.0,32.0,1.0,0.0,4.0,8.0,4.0,898167.0,2020/03
D15006,65.0,804.0,52.0,0.0,255.0,0.0,2.0,1.0,40.0,31.0,1989965.0,2020/03
D15007,42.0,216.0,31.0,0.0,69.0,0.0,1.0,0.0,9.0,9.0,531041.0,2020/03
D15008,19.0,174.0,28.0,1.0,167.0,0.0,1.0,0.0,0.0,13.0,520557.0,2020/03
D15009,4.0,11.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,419274.0,2020/03
D15010,54.0,675.0,47.0,0.0,217.0,0.0,2.0,1.0,38.0,28.0,1677678.0,2020/03
D15011,54.0,675.0,47.0,0.0,217.0,0.0,2.0,1.0,38.0,28.0,1677678.0,2020/03
D15012,11.0,63.0,1.0,0.0,23.0,0.0,0.0,0.0,8.0,6.0,495563.0,2020/03
D15013,54.0,675.0,47.0,0.0,217.0,0.0,2.0,1.0,38.0,28.0,1677678.0,2020/03
D15014,82.0,653.0,54.0,2.0,134.0,0.0,3.0,1.0,21.0,25.0,1755071.0,2020/03
D15015,24.0,120.0,8.0,0.0,25.0,0.0,1.0,0.0,5.0,1.0,523296.0,2020/03
D15016,70.0,992.0,62.0,2.0,257.0,0.0,3.0,2.0,45.0,43.0,2378412.0,2020/03
D15017,54.0,675.0,47.0,0.0,217.0,0.0,2.0,1.0,38.0,28.0,1677678.0,2020/03
D15018,66.0,281.0,6.0,0.0,80.0,1.0,0.0,0.0,20.0,21.0,1296572.0,2020/03
D15019,16.0,317.0,15.0,2.0,40.0,0.0,1.0,1.0,7.0,15.0,700734.0,2020/03
D15020,20.0,194.0,24.0,0.0,72.0,1.0,0.0,0.0,11.0,14.0,1039867.0,2020/03
D15021,18.0,73.0,2.0,0.0,31.0,0.0,0.0,0.0,15.0,8.0,730942.0,2020/03
D15022,33.0,238.0,37.0,1.0,109.0,0.0,0.0,1.0,8.0,15.0,844219.0,2020/03
D15023,18.0,57.0,3.0,0.0,15.0,0.0,0.0,0.0,9.0,7.0,417790.0,2020/03
D15024,33.0,238.0,37.0,1.0,109.0,0.0,0.0,1.0,8.0,15.0,844219.0,2020/03
D15025,33.0,157.0,15.0,0.0,92.0,0.0,0.0,0.0,6.0,16.0,679811.0,2020/03
D15026,54.0,241.0,4.0,0.0,61.0,0.0,0.0,0.0,17.0,11.0,958055.0,2020/03
D15027,35.0,74.0,1.0,0.0,25.0,0.0,1.0,1.0,7.0,3.0,411702.0,2020/03
D15028,20.0,88.0,14.0,0.0,28.0,0.0,1.0,0.0,7.0,15.0,437588.0,2020/03
D15029,20.0,194.0,24.0,0.0,72.0,1.0,0.0,0.0,11.0,14.0,1039867.0,2020/03
D15030,35.0,184.0,21.0,0.0,130.0,0.0,0.0,0.0,7.0,19.0,883918.0,2020/03
D15031,20.0,194.0,24.0,0.0,72.0,1.0,0.0,0.0,11.0,14.0,1039867.0,2020/03
D15032,8.0,66.0,2.0,0.0,23.0,0.0,1.0,0.0,4.0,5.0,396157.0,2020/03
D15033,23.0,113.0,8.0,0.0,19.0,0.0,0.0,0.0,4.0,8.0,371099.0,2020/03
D15034,51.0,234.0,4.0,0.0,58.0,0.0,0.0,0.0,17.0,9.0,873536.0,2020/03
D15035,16.0,40.0,1.0,0.0,6.0,0.0,1.0,1.0,7.0,16.0,462337.0,2020/03
D15036,15.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,8.0,435440.0,2020/03
D15037,19.0,121.0,13.0,0.0,28.0,0.0,0.0,2.0,7.0,14.0,409228.0,2020/03
D15038,19.0,63.0,3.0,0.0,10.0,0.0,0.0,0.0,3.0,1.0,370017.0,2020/03
