clave_mun,robo_casa,robo_vehiculos,robo_transportistas,robo_bancos,robo_negocio,robo_maquinaria,secuestro,feminicidio,extorsion,homicidio_doloso,pob,mpo_inegi_x,Ranking Modelo_x,pob_2015_x,start_year_x,end_year_x,mpo_ine_x,mpo_inegi_y,Ranking Modelo_y,pob_2015_y,start_year_y,end_year_y,mpo_ine_y,mpo_inegi,Ranking Modelo,pob_2015,start_year,end_year,mpo_ine,date
6004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20198.0,6004,83,20152,2018,2021,6003.0,6004,83,20152,2018,2021,6003.0,6004,83,20152,2018,2021,6003.0,2020/05
6005,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,30198.0,6005,83,30192,2018,2021,6004.0,6005,83,30192,2018,2021,6004.0,6005,83,30192,2018,2021,6004.0,2020/05
6006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5527.0,6006,226,5526,2018,2021,6007.0,6006,226,5526,2018,2021,6007.0,6006,226,5526,2018,2021,6007.0,2020/05
6007,42.0,4.0,0.0,0.0,15.0,0.0,1.0,0.0,2.0,32.0,184541.0,6007,226,184494,2018,2021,6008.0,6007,226,184494,2018,2021,6008.0,6007,226,184494,2018,2021,6008.0,2020/05
6008,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8985.0,6008,226,8978,2018,2021,6009.0,6008,226,8978,2018,2021,6009.0,6008,226,8978,2018,2021,6009.0,2020/05
6009,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,5.0,5.0,123191.0,6009,226,123135,2018,2021,0.0,6009,226,123135,2018,2021,0.0,6009,226,123135,2018,2021,0.0,2020/05
6010,28.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,136779.0,6010,83,136606,2018,2021,6005.0,6010,83,136606,2018,2021,6005.0,6010,83,136606,2018,2021,6005.0,2020/05
7001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18082.0,7001,158,18080,2018,2021,7001.0,7001,158,18080,2018,2021,7001.0,7001,158,18080,2018,2021,7001.0,2020/05
7002,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31424.0,7002,275,31414,2018,2021,7002.0,7002,275,31414,2018,2021,7002.0,7002,275,31414,2018,2021,7002.0,2020/05
7003,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28380.0,7003,158,28358,2018,2021,7003.0,7003,158,28358,2018,2021,7003.0,7003,158,28358,2018,2021,7003.0,2020/05
7004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32872.0,7004,30,32856,2018,2021,7004.0,7004,30,32856,2018,2021,7004.0,7004,30,32856,2018,2021,7004.0,2020/05
7005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19348.0,7005,88,19348,2019,2021,7005.0,7005,88,19348,2019,2021,7005.0,7005,88,19348,2019,2021,7005.0,2020/05
7006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30732.0,7006,151,30691,2018,2021,7006.0,7006,151,30691,2018,2021,7006.0,7006,151,30691,2018,2021,7006.0,2020/05
7007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9913.0,7007,30,9913,2018,2021,7007.0,7007,30,9913,2018,2021,7007.0,7007,30,9913,2018,2021,7007.0,2020/05
7008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,28162.0,7008,89,28135,2018,2021,7008.0,7008,89,28135,2018,2021,7008.0,7008,89,28135,2018,2021,7008.0,2020/05
7009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40114.0,7009,158,40107,2019,2021,7009.0,7009,158,40107,2019,2021,7009.0,7009,158,40107,2019,2021,7009.0,2020/05
7010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7494.0,7010,151,7489,2019,2021,7010.0,7010,151,7489,2019,2021,7010.0,7010,151,7489,2019,2021,7010.0,2020/05
7011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20142.0,7011,151,20121,2018,2021,7011.0,7011,151,20121,2018,2021,7011.0,7011,151,20121,2018,2021,7011.0,2020/05
